Ulasan,Sentimen
"Dear Vidio, Saya sudah berlangganan sejak lama, Tetapi kenapa mau nonton timna u19 dan timnas voli DRM, Keterangan DRM, DRM DRM, SANGAT MENGECEWAKAN 👎👎👎 BAD SERVICE",Negatif
Asu drm terus aplikasi apa ini,Negatif
"Iklannya kek kontlo, udah bayar iklannya selalu bikin kaget krn volume suaranya gak sama dengan film yg di tonton.",Negatif
"Setelah update malah gak bisa liat bola.. Tertera sesi dmr telah habis padahal hp udah suport..sebelum"" nya juga bisaa ahh kecewa sekali",Negatif
"berlangganan vidio, divice gak suport DRM, mungkin di protect, cara ngatasinya gimna??",Negatif
VoidspoLMOV,Positif
"Kenapa saya sudah beli paket malah gak bisa nonton, selalu DRM padahal udah pake perangkat terbaru, ini parah bintang nya sy kurangi aja",Negatif
ini bagaimana ini saya sudah membeli paket premium tapi kok tetap tidak bisa ditonton?????!!!!,Negatif
Terlalu banyak iklan mana lama lagi kalau bisa sihh iklannya bisa di skip,Negatif
Terbaik pokoknya 👍,Positif
Adain diskon premium 50 persen dong ya kan,Positif
Kebanyakan iklan ni apk jangan download,Negatif
"gak ngerti,kenapa tiba² paket video saya hilang,",Negatif
"La aplicación es buena, le doy 5 estrellas.",Positif
Pidiyo nya bagus bagus,Positif
Sudah berlangganan tiba2 gak bisa premium lg aneh,Negatif
"udah beli paket diamond + spotv hbs 176k hmpir 200 tp stiap nonton tayangan sepak bola premier league di tv, tiap 30mnit knak limit screen.. padahal 1 akun satu device ga da share sana sini... herann",Negatif
"Ini kenapa dah setiap mau login gak bisa coba daftar lg pake akun email atau nomer lain gak bisa, make FB jg gak bisa bener2 dah",Negatif
Luar biasa hebat,Positif
"ok banget,,, lebih ok klo freee,,,",Positif
apk mau untung masa naruto nih naruto doang loh harus langganan di apk lain ngga berbayar juga,Negatif
"Tiba tiba gabisa nonton konten karena ,DRM muat ulang...kecewa padahal kemarin sore masih bisa",Negatif
Assalamualaikum wrwb ...saya itu voly mania ( lavani) saya mau langganan kog ga bisa bayar lewat aplikasi ya ???,Negatif
Lumayan lah. Tapi iklan nya banyak,Negatif
Jangan download banyak iklan gajelas sampe 10 kali lebih di akip jga percuma,Negatif
Kita mau bukan mau nonton iklan. Parah,Negatif
"Nyoba dulu lancar apa lemot nih,",Negatif
Tonton bagus cmn sayang sekali dan sayang baget gk bisa d Tonton sambil vc👎🏻,Negatif
Mudah,Positif
OKe,Positif
"apalah gw baru isi dana 100 main bayar"" aja bikin rugi mana duit pas pasan buat beli kuota malah bayar otomatis premium vidio lain kali ada notif dulu jangan main bayar otomatis gitu aja bikin rugi",Negatif
"Gak live seperti dulu, sekarang streaming bola telat 1 menit dari live yg ditv hmm",Negatif
"Aplikasi ini Hanya Cari Untung Sendiri, Gak ada fitur Monetisasi untuk para Creator Kecil. Yang setidaknya bisa membantu menumbuhkan ekonomi masyarakat. Justru malah menguras kantong masyarakat. Dasar sampah.",Negatif
"Berlangganan tiap bulan, skarang malah ada DMR dicek perangkat nya udh support tapi tetep aja masih ga bisa nonton, ngaco bgt nyesel berlangganan haha",Negatif
Sering lelet,Negatif
"Kenapa saya tidak bisa menonton siaran piala presiden setelah pemberitahuan ""sesi DRM sudah usai"" Padahal sebelumnya masih bisa Paket pun masih ada Sedangkan live streaming yg lain bisa",Negatif
Kata nya gratis eh pas ada pertandingan Persib pas lagi main disuruh langganan,Negatif
Gabisa ntn piala presiden katanya DRM. Pdhl hp saya memadai,Negatif
"Maaf mau nanya min... Ini kenapa jadi ada DRM segala, Seakan percuma kita berlangganan tapi tidak bisa menikmati tontonan. Kemarin-kemarin lancar jaya saja saya menonton dan lancar juga saya berlangganan karena banyak tontonan olahraga-nya, ini kenapa malah ada DRM segala, bikin ribet min. Saya menonton di Android TV, dan sdh beberapa bulan aman² saja dan lancar² saja... Ini kenapa harus ada DRM segala min, mohon di pertimbangkan min... Tv saya ANDROID TV XIAOMI A2 SERIES",Negatif
Udah beli vocer buat nonton persib tapi ngga bisa di tonton koplok,Negatif
Sangat buruk karena lama,Negatif
Gk gratis.. nonton aja harus bayar.. emang internet lu yg byarin?,Negatif
"Beli paket tahunan, tiap nonton live sepakbola buffering terus... Nonton streaming di website lain lancar :( :(",Negatif
Sangat bagus dan terbaru,Positif
"bulan lalu udah beli paket tapi masih ada iklan dan kalau nonton selalu lag padahal Internet nya bagus karena udah males akhirnya saya hapus eh saldo saya terpotong dan ga bisa balik,seharusnya lebih ditingkatkan lagi biar ga lag karena itu yang bikin saya males nonton,pas lagi enak enak nonton malah lag dan jangan potong otomatis harus nya dengan persetujuan dan menggunakan pin makan tuh 43k semoga berkah,enak dong dapet 43k cuma cuma dan saya udah berhentiin langganan",Negatif
"Lama2 belagu nih aplikasi ini, mau nonton siaran ulang proliga aja pake segala harus beli platinum. Lihat aja bentar lagi juga tak uninstal ini aplikasi. Ngga guna, ngabisin kuota aja.",Negatif
"Makin nggak jelas, buka film apa yang tayang pasti film cinta pertama ayah. Taik film galaku apa gimana",Negatif
Sangat bagus,Positif
"Udah langganan setahun lebih , DRM2 mulu ampasss",Negatif
Bagus,Positif
Aku suka sekali dengan aplikasi vidio,Positif
Harusnya sih bisa bayar lewat tf,Positif
Bagus,Positif
"paket yg dibeli dari beli data im3, sekarang sudah tidak masuk lagi, tidak tahu salah siapa, im3 atau apk vidio , makin malas jadi nya",Negatif
Akses premium dri im3 ga bisa,Negatif
Ini apk apaan sih.. udah iklannya banyak terus nelan paketnya ngga ngotak. Nonton 2 episode aja yg cuma 13 menit makan pketnya sampai 2.5GB. Apknya sumpah mau habisin penghasilan org.. mikirlah kalau mau buat apk. Ngga smua org punya penghasilan yang cukup,Negatif
Sangat puas dengan aplikasi ini,Positif
Loading terosss.. padahal jaringan bangus.,Negatif
Gratisan,Positif
Server burukkk,Negatif
"tolong kepada pihak vidio, kualitasnya diperbaiki lagi,, gambarnya selalu maju mundur, udah maju , malah mundur lagi beberapa detik,, gitu terus ,, padahal aku selalu nonton tiap hari, kan jdi kesel nontonnya 🤦",Negatif
"Apalah aplikasi ni padahal udah download film sinyal bagus tiba tiba download nya gagal padahal udah hampir selesai, kuota udah abis buat download tapi gagal dan kuota gak dikembalikan,mohon diperhatikan kembali,rugi dong kalo kayak gini",Negatif
Ok aj sih,Positif
Bagus,Positif
Punya paket diamond minta di aktifkan aja susah bangettt,Negatif
Makasih yang sudah buat aplikasi ini jadi aku bisa nonton film magic 5 di aplikasi ini ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️⭐⭐⭐⭐⭐ love 14 sama bintang 5 untuk video ini,Positif
"Aplikasi merugikan... Bayar mulu... Upgrade upgrade mulu, iklan dibanyakin...",Negatif
"Pelit. Udah bayar beli paket, kita sambung ke tv aja ga bisa..",Negatif
Kebanyakan Iklan,Negatif
"Peraturan rumit,,mau nonton timnas ja gak bisa terkendala DRM ..hadehhh mohon teknisi solusinya gimana ini",Negatif
"gajelas banget puqi mau beli paket pake pulsa telkomsel ga bisa,padahal pulsa ada 50 ribu lebih,melayang pulsa gw gocap. netflix aja ges sekarang mah",Negatif
Rcti terbaik,Positif
Saran saya coba tambahkan dubbing bahasa Sunda,Positif
"aplikasi nya bagus bngt cuy, film / series nya juga lumayan oke, yg gw suka pas langganan aplikasi ini 1. film / series yg gw mau ada semua kayak Resident Evil, 12 strong, fury, underworld dll ada semua (walaupun ga terlalu lengkap) 2. harga langganan perbulan lumayan murah untuk paket platinum 3. tampilan apk nya Simple dan enak dilihat, cuman ada beberapa kekurangan yg gw alami misalnya kadang subtitle kadang suka delay, tapi ga masalah, so tingkatkan lagi kualitas aplikasi kedepannya",Positif
aplikasinya sering iklan terus makanya tak kasih bintang satu sering iklan,Negatif
Versi yg lawas,Negatif
Cukup baik tapi terkadang ada kendala sedikit,Positif
"Saya tidak mau berlangganan otomatis, karna saldo saya lansung trpotong",Negatif
"Gokill, kecewa banget dah, nonton udah langganan muter"" Aja vidionya, padahal udah pake wifi sama paket data masih aja, hadehhh",Negatif
"Sudah berlangganan sesuai yang saya beli tapi gabisa, disuruh beli lagi",Negatif
Aplikasi nggak jalas,Negatif
"Sudah beli langgangan express ular tangga darah eps 4, tapi pas di play gabisa padahal uangnya udh ke ambil, kecewa",Negatif
"Setelah update malah gak jelas.. Mau nonton movie, cuma muter muter doang loadingnya sampai 10 menit, gk jadi nonton.. Padahal sinyal 4G, 30mbps..",Negatif
Apk lemot busuk muat ulang terus padahal signal bagus,Negatif
Bagus banget,Positif
Bagus banget,Positif
"Aplikasi koyok gancok bolak balik Dewe rajelas ,sistem eror guak wae raudah di instal",Negatif
Saya mendapat paket dari im3 sdah di redem tapi tetap tidak berubah paket diamond saya,Negatif
Apk ngak jelas,Negatif
"Aplikasi Taik, gak bs nton live Bola Volly",Negatif
"Sangat kecewa, kirain gratis ternyata berbayar",Negatif
Film nya bagus dan banyak pilihan,Positif
"Parah ni aplikasi, mau nonton streaming tv aja bayar. RCTI+ jauh lebih baik 🤣",Negatif
Sudah daftar paket asik2 nonton malah gangguan khusus vidio,Negatif
Saya bingung.. saya beli paket pertama x yg platinum TV bundle.. dan sudah habis paketnya.. tapi saya mau beli lg kok ga bisa di klik..,Negatif
Apk parah udah bayar paket premium tpi tidak bisa nonton aff u19,Negatif
Baru mau nyoba,Positif
mau beli paket aja loadingnya lama....kalo bukan karena nntn bola males aku unduh vidio,Negatif
"Oalah, buat nonton timnas aja pakek mbayar segala 😡",Negatif
pas waktu di ada pertandingan lansung selalu gak bisa dilihat tolong dong aplikasinya lebih bagus lagi....?saya mau nonton sepak bola selalu gak bisa aplikasinya masih kurang bagus,Negatif
Kagak jelas biasanya nonton bola bisa ini kagak,Negatif
"Kecewa sekali. Sy sudah beli Vidio Platinum di Tsel, tapi di aplikasi sy tidak terdaftar. Sy masih belum bisa akses video2 sesuai paket yg sy beli.",Negatif
Sangat mengecewakan padahal sudah berlangganan untuk satu bulan tapi tiba tiba suruh berlangganan lagi kacau,Negatif
Mau belajar jadi kapitalis ya,Negatif
Aplikasi busuk. Jangan instal buang2 kuota kalian. Tidak ramah bintang 1 👎,Negatif
Beli paket premium selalu gagal,Negatif
Keren,Positif
sudah berlangganan ko tidak bisa d download ketika video ingin diunduh?,Negatif
Lumayan bagus filem2 nya semoga lebih baik lagi,Positif
Iklan ngotak dikit dong anj,Negatif
Bagus tapi dia asli bahasanya,Negatif
Bagus apk ini tapi iklannya lama,Negatif
Udah Langganan lama tapi Drakor Drakor pada hilang kecewa banget aku ..itu kenapa sih bisa hilang ???,Negatif
Sering loading padahal nonton TV aja jelek.. Sinyal padahal bagus,Negatif
Ok,Positif
Gak bagus,Negatif
Durasi nya cuma 7 menitbpadahal dah liat iklan kontl,Negatif
Terima kasih sahabat ku,Positif
Aplikasi yang sangat bagus menyediakan film2 berkualitas,Positif
Apaan. Di buat nonton tv malah banyak banget iklan dr aplikasi nya . Gak banget,Negatif
Iklannnya banyakkkkkkkk bangetttt,Negatif
"Rugi langganan di vidio, udah beli paket diamond mahal mahal, eh taunya g bisa nonton dgn alasan DRM. Udah ngikutin arahan dari admin di ig untuk mengecek apakah hp support dgn DRM, pas dicek support full. Kemudian nanya balik ke admin di ig malah gada tanggapan. Hahahahahaha lawak memang.",Negatif
Good,Positif
ini cara supaya nonton sctvnya lancar gimana padahal nonton YouTube lancar lancar aja😭,Negatif
Butut sudah berlangganan tapi buat nonton live bola gak bisa terus,Negatif
Bagus dan sangat menikmati saya tontonan nya... Terima kasih,Positif
Aplikasinya bagus 👍👍👍,Positif
Mantaap,Positif
Kenapa bayar langganan tidak bisa pakek metode apapun,Negatif
Apa apa harus berlangganan,Negatif
Sangat bagus,Positif
"Udah lenggang paket,tapi nggak bisa nonton live tv,gimana ini padahal yang dulu²lancar²aja,di buat nonton film lancar internet kenceng,giliran nonton live tv malah nggak mau ngangkat internetnya tolong dong, SOLUSINYA",Negatif
Tidak serekomendasi dulu susah klo mau berlangganan lgi nya,Negatif
"Sering ngambilin uang shopee saya , pas saya cek mungkin udah 200rb uang saya di ambil. Padahal saya uda berhenti langganan , tapi ko aneh tetep diambil uang di shopenya",Negatif
Nonton di sini ga seru harus dibayar andai kalo ga dibayar makin seru,Negatif
Udah bayar padahal. Eh msh ada iklan....parah,Negatif
Skip harus bayar dlu baru bisa nonton,Negatif
good,Positif
"Cara bayar pake google play gimna sih, ko malah harus d gunakan di indonesia, emg gue diem d manaa ampun",Negatif
"dari luar negeri apa bisa nonton live streaming sepakbola Indonesia, tolong di jawab",Negatif
Setelah di update jadi ribet dan suka lag saat mau beli paket padahal jaringan bagus,Negatif
Ruwet.arep nonton bola ae pembayarane ruwet,Negatif
"Kecewa, pulsa sudah kepotong 50 rb lebih buat bayar paket premier, tetapi status masih belum berlangganan",Negatif
"Metode pembayaran ditolak, padahal pulsa cukup, kenapa mau bayar aja sulit.? Sudah dftarkan nomor yg ada d aplikasi tetep aja gabisa.. BUSUK.!!!",Negatif
"Kalo play radio sering keluar sendiri, kesel banget",Negatif
"Sudah cukup bagus, tingkatkan terus",Positif
Dafsc,Positif
"Jelek dan bayar terus,sesudha bayar tapi ga bisa nonton,hars ngurus ini itu lah",Negatif
Ok,Positif
Eudvejdhdh ngidul udut jd diiris kesian d4uhfhdjc,Positif
Aplikasi anj dah di bayar malah gk bisa nonton brp x di top up uang hbis nonton ga bsa,Negatif
"Iklan gak bermutu,mau di bilangin malah masuk ke vidio",Negatif
Tidak memutar vidio,Negatif
Aplikasinya pendek durasinya. kasih panjang durasinya kalau beruba APKnya aku tambahin lagi ranting yah,Negatif
"Aplikasi ngaco buat yang mau download gua saranin jangan,aplikasi kebanyakan iklan dan kalo mau nonton harus langganan",Negatif
"Sangat Buruk semua Film banyak yang terpotong, kekurangan film juga",Negatif
Bagus sdh,Positif
Film udah bertahun-tahun pun gak ada gratis nya.... Film baru atau box office okelah.. Film series pun bayar... Film 2 atau 3 tahun lalu malah... Masih harus bayar....,Negatif
Sangat menghibur,Positif
Mantap bagus,Positif
Kk vidio ga bisa dondot,Negatif
"hii jijik aplikasi kere iklan, apalagi di TV jijik aplikasi kere iklan dari luar pula pas waktu di tayangan muncul jijik.. iklan tu di kondisikan tayang nya",Negatif
bagus tapi sayangnya bollywood tidak ada kenapa ya padahal favorite 😴,Negatif
Kecewa sudah beli paket premium tapi tetap ada iklan yang mengganggu.,Negatif
Harganya ⭐⭐⭐⭐⭐ Pilihan filmnya ⭐⭐⭐ Bahasanya dan subtitle ⭐⭐⭐⭐ Jam updetnya ⭐⭐⭐⭐ dan masi suka ada popup iklan walau bisa di close tapi nyebelin woi. Gua udh bayar ga mau ada iklan samadekali tapi selalu muncul di awal ngeplay videonya. Dan tolong di perbaiki aplikasinya karna suka muter2 tampilannya,Negatif
"Bagus banget, murah meriah, sangat membantu.. Terimakasih vidio",Positif
Iklannya banyak .!!,Negatif
"deflopernya kebanyakan MAKLAR, Uda bayar premium tapi masii disuruh juga bayar express biar apasi? mending kalau expres nya cuma 1-3 harii ini udaa 2 minggu masii aja disuruh beli expres haduh, BOBROK platform nya kecewa mending dlu gua langganan ke wetv/netflix.",Negatif
Coba gratis video premium nya bagus banget,Positif
aplikasi yang sangat bagus,Positif
"Saya sudah membeli paket express untuk menonton MY NERD GIRL SEASON 3 episode 6 ,dan sudah melakukan transaksi melalui LIVIN BY MANDIRI ,mengapa kok tetap tidak bisa menonton bagaimana cara menangani masalah ini??? So,maaf saya kasih bintang 2 dahulu ada balasan dan masalah clear saya buat bintang 5. Terima kasih",Negatif
"APK KURANG UPDATE BANGET FILM' NYA, MASA FILM' POLULER INDONESIA YANG DI CARI' ORANG GA ADA, KECEWA!.",Negatif
Bagus,Positif
"tolong hapus kebijakan perpanjangan paket berlangganan otomatisnya, seharusnya kalo memang paket sudah kadaluarsa & tidak terpakai jangan tiba tiba perpanjangan otomatis lagi",Negatif
Kasih bibtang 5 dulu klo bagus nanti tambah 5 lg ...,Positif
adduh di up kenapa jadi keluar masuk pas nonton filmnya..ngadat2 juga..tolong yha diperbaiki,Negatif
Aku kasi bintang 3 karena lagi eror untuk pemutaran video nya,Negatif
"Maaf pulsa tidak cukup, padahal pulsa lebih dari harga pembelian",Negatif
Di larang login aplikasi video.,Negatif
"Untuk apps sih ga ada masalah, tapi klo nonton via browser ampuun sering bgt tersendat sendat. Tolong lah di benahi versi browsernya",Negatif
Aku download ini untuk nonton sepakbola dan voli tapi untuk pemain Indonesia berbayar sedangkan pemain asing enggak terlalu kasar ni aplikasi mencari cuan hanya untuk warga Indonesia,Negatif
"Sekali jaringan turun ngulang dri awal, iklan bejibun ga karuan, jelek bgt👎🏻👎🏻",Negatif
Sangat membantu,Positif
"Masih banyak yang harus di perbaiki, app ini masih kalah jauh sama vixion+",Negatif
Geton q geton ujung2 beli paket,Negatif
Mantap,Positif
good job,Positif
udah ngabisin kuota bli langganan lagi,Negatif
jelek,Negatif
Apaan paket primere tulisannya cmn 54.000 sama pajak giliran dibayar jd 63.000 banyakan nipu,Negatif
Boljug dah,Positif
"aplikasi yang sangat membagongkan, beli paket banyak iklan, taiiiiii",Negatif
"Kecewa, sudah berlangganan tapi tetap gabisa nonton live",Negatif
"Lucu masak nonton negara lain bisa,tanpa beli premium.. negara indonesia harus beli premium.. hadehhh... Pantes rate nya kurang baik..",Negatif
❤️❤️❤️,Positif
Sangat membantu,Positif
Sangat memuaskan saya,Positif
Tolong jawab gimana cara Subtitle teks Bahasa indonesia menonton Tv Saya bingung gimana cari kak,Negatif
"Kebanyakan iklan,trs iklannya 60detik trs 2x pula",Negatif
"Tolong tambahkan Global TV,Mnctv,RCTI kagak ada.",Negatif
Sangat suka ma aplikasi vidio ini,Positif
"Aplikasi penguras saldo gopay,tidak ada notifikasi pemberitshuan sebelumnya, langsung potong saldo gopay untuk perpanjang paket",Negatif
"Klo gak ada flmnya jgn post trailernya KONTOOOOOL, jd bingung, contohnya virgo and the sparkling, masa semua vidio triler gak jelas, rugi langganan",Negatif
"Gak seru lagi aplikasi ini, masa sekarang mau download harus langganan dulu👎",Negatif
keren,Positif
Sangat bagus..🔥🔥,Positif
"Iklannya aja yang lancar, setelah Iklan cuma muter-muter aja, kuota buat nonton iklan doang",Negatif
banyak drama sponsor nya,Negatif
Aplikasi ga gratis jadi ga puas dan terbatas,Negatif
video dewasa,Positif
"Kenapa sih kadang suka delay? Suara udah dimana, gerakan mulut baru ngomong... Bug nya tolong di perbaiki..",Negatif
"Sorry mau nanya, kenapa ya langganan 1 tahunnya di tagih terus ke shopeepay sebelemnya, sedangkan langganannya sudah di bayar ke shopeepay yang baru, dan itu udah valid. Kenapa di tagih di shopeepay yang lama, kesalahan sistem? Tolong di cek dan di beri info bug ini",Negatif
Bagus aplikasi nya tapi sayang nya ada fitur yg tidak bisa di download ya itu tidak bisa di download dengan 1 sinetron dari episode 1-habis gak bisa di download kecewa di kit tapi tolong di betulkan aplikasi nya ya tapi tetap bagus walaupun tidak bisa di download saya kasih bintang 3 dulu ya😁,Negatif
Kecewa!!,Negatif
"Maaf sebelumny kak, apk sangat bagus",Positif
Tidak ada.menu berhenti berlangganan,Negatif
Iklanya terlalu banyak kalau bisa iklanya di hilangkan karena kalau satu vidio itu bisa nonton iklan lebih dari 3 menit padahal lagi asik nonton eh malah iklan padahal sudah bagus iklanya hilang. Eh malah ada iklannya lagi,Negatif
mantap bisa nonton film aksi,Positif
MANTAP SUDAH SELESAI URUSAN PERPAKETAN.,Positif
"Duh, iklan nya gangguuu😭",Negatif
"Ini sbnernya layar jernih tp knp delay trs 10-30 detik.. Hallo video,, gmn ini nonton jd ga puas.. Kecewa uda langganan per bulan... Perbaikan donk... Masa delay jd ga seru nonton nya",Negatif
Kga bisa reedem,Negatif
Tidak bisa klik stop berlangganan,Negatif
Iklanmu i lo ngungkuli yutub iklan 2 menit ga iso di skip ki opo maksude premium larang sakno wong miskin i lo,Negatif
Luar biasa,Positif
"Bagus bagettt, aku bisa nonton cencel TV yang rusak di TV ku,.",Positif
Tai vidio,Negatif
"Saya sudah melakukan pembelian paket platinum, dan sampai detik ini paket belum aktif Mohon segera di proses",Negatif
Sangat buruk sudh beli paket mau nonton malah nge lag trus....dikit dikit lag..hadewwww nga jelas apk ini,Negatif
Biar bintang yg berbicara,Negatif
VIDIO COM BAGUS BANGET 😂,Positif
Kan aku mau nonton magic 5 tapi kok eror terus,Negatif
"Kebanyakan iklan dan buffering, kecewa!!!",Negatif
"Gimana cara berhenti berlangganan di apk ini, karna saya udh ga pake tpi dana saya selalu ketarik tiap bulan nya",Negatif
Iklan lo ngasih virus kontl,Negatif
Sangat memuaskan untuk nonton berita dan olaraga,Positif
masih harus diperbaiki,Negatif
Kenapa ada bunyi kresek nya setiap nnton,Negatif
😌😌😌,Negatif
"Kecewa banget sama vidio,mau nonton bola aja muternya kayak mutaran bundaran aja lamanya... Padahal jaringan kita bagus,udh capek capek beli paket,malah di kecewain",Negatif
Bagus,Positif
Saya sangat senang dengan adanya aplikasi ini,Positif
udh langganan 1 bulan platinum. masa gak bisa di gunakan payahh bgt ini aplikasi vidio. padahal mau nonton final copa amerika,Negatif
Suka,Positif
"Aplikasi hiburan terbaik. Bisa nonton TV Nasional dan TV selain nasional juga ada. Bisa nonton drakor, film, dan series original dengan biaya langganan premium yang relatif murah dibandingkan yang lain. Good job, VIDIO..!! 👍👍",Positif
Vidio terbaik,Positif
Ga ada film bollywoodnya padahal dulu ada jadi kurang suka,Negatif
Good,Positif
Film nya ga lengkap mengecewakan,Negatif
Bagus,Positif
Bagus,Positif
"Aplikasi sangat jellek, kenapa saya bilang jellek karena menguras data sekali",Negatif
Ini video knp aplikasi nya padahal jaringan bagus ketika mau langganan gk bisa masuk,Negatif
Ok,Positif
Verry good,Positif
"Percuma beli versi berbayar, di play aja ngelag, malu²in speed 100mbps njir... Udah gitu ga mampu 4K lagi quality nya 😒",Negatif
Kualitas hd,Positif
Uda isi langganan tpi gk bisa diputar Ini knapa ? Rugi klok gini caranya,Negatif
Membingungkan gak ada transfer bank sekelas bca entah m banking atau via atm,Negatif
Ini kenapa saya engga bisa langganan lagi setelah saya berhentikan smentara mau liat bola wanita sore ini ni,Negatif
Ok good,Positif
aplikasi yg sangat cocok,Positif
Mantap,Positif
"Aplikasi ini uda gk kek dulu la, nntn dikit hrus bayar, uda gk enk",Negatif
"Kenapa Vedeo Liga Campion Dan Liga Eropa Hilang Tiba""Hilang Kemarin Masih Ada Tolong Di jelaskan",Negatif
"Saya tadi pagi beli paket di my Telkomsel,biasanya langsung aktif. Tapi kenapa kali ini bermasalah.paket saya ga aktif. Tp diketerangan Telkomsel paket video saya sudah aktif sampai bulan Agustus...tolong penjelasannya terimakasih",Negatif
"Apk ini sangat bagus, hanya saja terkadang banyak iklan nya, dan banyak animex yang gk lengkap jg, tapi kalau buat saya sih sejauh ini blm ada kendala lg! Jadi sejauh ini apkx sangat bangus makanya gua beri bintang lima",Positif
"Download Vidio karena pembayaran menggunakan Bundling XL untuk paket platinum setiap bulannya. Jaringan, lancar lancar aja tuh.",Positif
ini kenapa gabisa di androidtv yah? padahal 2 hari yg lalu masi bisa. habis di uninstall malah di cari digoogle play gaada hiks ga jelas banget🥴🥴🥴,Negatif
Saya sdh dua Minggu yg lalu sampe sekarang bgitu buka siaran langsung sepak bola malah di suruh aktifkan paket..bingung kemana paket yg saya beli??,Negatif
"Saya udah isi paket 13 juli, eh pagi ini tgl 14 juli malah uangnya kepotong lagi. Gimana sih ini?? Rugi banget jadinya langganan kek gini. Malah kepotong 2x uangnya.",Negatif
TKI di luar negri gk bsa nonton. Payah,Negatif
"Not so good, too much commercial info",Negatif
"kecewa banget, sudah beli paket premium 30hari tapi pas buka aplikasi video nggak bisa",Negatif
jelek,Negatif
"Saya mau lanjut nonton the romance of the condor heroes ko udah gaada yaa, tolong lah developer jangan asal hapus aja, saya minta tolong di munculkan kembali sinteron nya bagus",Negatif
"kenapa saat play video patah"" trus, durasinya langsung maju beberapa detik kedepan, bikin ga nyaman nonton aja, kenapa sekarang jadi gini, dulu aman aja, kecewa",Negatif
"nyesel udah bayar langganan setahun. Jangan pakai vidio ini. Videonya putus putus. 5 detik lancar, terus berhenti 3 detik. Dan seterusnya. Bagusan netflix lancar videonya. Bisa kembalikan uang saya ?",Negatif
Vidio bagus,Positif
👍Bagus👍,Positif
Apdetan mulu,Negatif
Di Paket platinum bundling .. tayangan apa saja yg terbuka,Positif
Lagi coba banyak iklan boleh lah,Positif
"bagus aku suka aplikasi vidio ini,ini membantu banget soalnya tv di rumah rusak",Positif
Knpa sih g bisa kbuka,Negatif
Good,Positif
Teks nya kecil kali..... ...... Teks kecil,Negatif
Awesome,Positif
Selalu gk ada episode baru,Negatif
Aku beri bintang 3 saja deh karena tdk ada RCTI nya,Negatif
Aku sangat suka dengan apk ini dan sangan bermanfaat banyak sinetron atau film yang aku lewatkan karena tidak sempat dan dapat ak lihat kembali di apk Vido sports movies ini terimakasih🤩🥰😍🤩🥳😘,Positif
Padahal Tayangan Sudah Diunduh tapi kok ada iklannya sich!!!! Iklannya malah banyak banget!!!! Nontonnya Jadi Gk Nyaman Banget.........😤😤😤😤 Jangan Komersial Aja Yang Dipentingin Tapi Juga Kenyamanan Pelanggan Juga Dong !!!!😠😠😠😠,Negatif
"Mending gua saranin Netflix udah langganan mahal mahal tapi tetep aja ga bisa nonton film nya fitur nya jelek jelek Video nya kurang lengkap,buat kalian gua saranin pindah Netflix",Negatif
Berat bgt ini jadinya tiap mau nonton gak ngangkat,Negatif
Sangat keren,Positif
Madih kurang lengkap film2 jadul malah g ada sama sekali,Negatif
Apl ampas beli langganan bulanan msih dsuruh beli prabayar,Negatif
Oke 👍👍👍👍👍👍,Positif
Apasih apk GK jelas ...... Tolong dong kalo mau narik uang buat berlangganan bilang kek taii tiba tiba saldo gua abis ludes gara gara apk GK jelas narik uang buat langganan,Negatif
Video,Positif
"asli begini amat, udh beli paket . kagak bisa nonton, sudah laporkan, nunggu esok hari masih sama. paket gk kebaca. eek kucing emang. mengecewakan",Negatif
Minta senik pidio,Negatif
"lag and frez and eror always! replay eror, iklan banyak .. pake wifi udah 100mbps pun lag aneh",Negatif
Jelek banget aplikasinya,Negatif
MIN MENIMAL BISA DI DOWNLOAD DONG VIDIO NYA AKU PENGEN DOWLOAD VIDIO NYA JAGGAN BAYAR KALAU MAU DOWNLOAD MIN,Negatif
Kecewa dg vidio udh dibayar langganan tp tetap gak bs ditonton 😏😏😏,Negatif
"Tanpa EPL, hiburan & olah raga yang tawarkan di aplikasi ini biasa biasa saja. Kwalitas tayangan FHD harus di setting secara manual (TV, HP, Tablet, PC).",Negatif
Bagusss gw suka film My Nerd Gril,Positif
Oke alias josss,Positif
"baru nyoba, satu bintang aja dlu",Negatif
"mohon maaf saat ini kasih 4 dulu. sebagai masukan nih, bisa tidak untuk fitur download nya bisa satu series sekaligus gitu? biar ngga repot kalau mau nonton satu series secara offline mesti didownload per episode satu-satu",Negatif
"mau nonton final four proliga di apk ini, yg dipilih durasi nya full match malah yg ditayang kan cuma 3 menitan aja, ini apk untuk nonton video atau untuk nonton iklan sih... payah apk kek gini😇😇",Negatif
Kecewa udah bayar ga bisa di tonton,Negatif
App bagus,Positif
"iklan nya bohong katanya bisa main permainannya buat nukarkan tiket untuk dapat hadiah ternyata harus top up energy dulu supaya bisa main biar dapat tiket dasar pantas aja reting kau buruk, langganan disini pun rugi kali mahal sering eror mending di netflix murah",Negatif
"Dengan jaringan yg sama, nonton pake netflix dan pake vidio, kenapa lebih sering loading klo pake vidio, jd kurang nyaman nontonnya. Saya harap diperbaiki lagi",Negatif
seru film ny,Positif
"Ini gimana sih. Udah hampir 3 jam, mau proses pembayaran kok susah sekali...",Negatif
